run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"adverse-dispatch-branches_BFS_limit_500-run-1","adverse-dispatch-branches","BFS","research.AdverseDispatchAndBranches.runAdverse","148696200","5627700","143068500","10","19","19","19","18","25","1","0","8044824","42"
"adverse-dispatch-branches_BFS_limit_500-run-2","adverse-dispatch-branches","BFS","research.AdverseDispatchAndBranches.runAdverse","142434200","5776100","136658100","10","19","19","19","18","25","1","0","8046200","42"
"adverse-dispatch-branches_BFS_limit_500-run-3","adverse-dispatch-branches","BFS","research.AdverseDispatchAndBranches.runAdverse","166578900","6222800","160356100","10","19","19","19","18","25","1","0","8044840","42"
