run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-factories-depth6-realstyle_Random_limit_100-run-1","real-factories-depth6-realstyle","Random","research.RealDispatchBenchmarks.factoriesDepth6RealStyle","371810800","13411200","358399600","16","102","102","102","101","30","34","1","34293912","42"
"real-factories-depth6-realstyle_Random_limit_100-run-2","real-factories-depth6-realstyle","Random","research.RealDispatchBenchmarks.factoriesDepth6RealStyle","447374400","17334500","430039900","16","102","102","102","101","30","34","1","34348328","42"
"real-factories-depth6-realstyle_Random_limit_100-run-3","real-factories-depth6-realstyle","Random","research.RealDispatchBenchmarks.factoriesDepth6RealStyle","491650200","30198800","461451400","16","102","102","102","101","30","34","1","34350232","42"
