run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators
"real-exceptions1-branchcontrol-run-1","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","76261600","3244299","73017301","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-2","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","81137901","2881800","78256101","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-3","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","75221500","1500499","73721001","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-4","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","77174600","3281699","73892901","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-5","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","79188100","3279203","75908897","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-6","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","75041500","1521700","73519800","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-7","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","88099101","5807800","82291301","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-8","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","78714700","3395501","75319199","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-9","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","75534100","1506100","74028000","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-10","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","76179500","3263400","72916100","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-11","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","87002901","3295699","83707202","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-12","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","78259000","3257300","75001700","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-13","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","76087799","3099301","72988498","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-14","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","92477899","7582301","84895598","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-15","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","80167300","3764501","76402799","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-16","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","77492399","3125200","74367199","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-17","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","80031500","1493901","78537599","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-18","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","77307600","1651400","75656200","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-19","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","78239500","3535399","74704101","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-20","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","84833700","3241200","81592500","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-21","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","75866300","3329502","72536798","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-22","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","73716700","1515601","72201099","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-23","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","74858200","1591902","73266298","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-24","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","77155300","3251999","73903301","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-25","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","82849100","3940002","78909098","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-26","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","74660400","1625899","73034501","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-27","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","76713801","3134601","73579200","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-28","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","80057000","2206800","77850200","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-29","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","82825700","3216000","79609700","3","5","5","5","4"
"real-exceptions1-branchcontrol-run-30","real-exceptions1-branchcontrol","default","research.OpenSourceExceptionCases.exceptions1BranchControl","80382100","3236900","77145200","3","5","5","5","4"
