run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators
"real-exceptions2-branchcontrol-run-1","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","84285800","4241300","80044500","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-2","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","85794000","5170600","80623400","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-3","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","79074900","3502901","75571999","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-4","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","77165500","3295600","73869900","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-5","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","79374899","3427600","75947299","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-6","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","77224301","3190299","74034002","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-7","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","79117700","3273701","75843999","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-8","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","78720000","3404701","75315299","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-9","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","96863100","4137000","92726100","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-10","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","80963301","4051400","76911901","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-11","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","80499601","3267199","77232402","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-12","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","84189400","3557201","80632199","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-13","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","81822599","4102500","77720099","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-14","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","78340400","3363201","74977199","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-15","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","80876200","3228199","77648001","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-16","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","78774300","3458099","75316201","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-17","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","79184099","4886598","74297501","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-18","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","79238400","3522000","75716400","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-19","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","76455300","3344200","73111100","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-20","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","89323600","5504599","83819001","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-21","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","76352201","3170600","73181601","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-22","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","81736100","5180501","76555599","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-23","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","80254800","4288699","75966101","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-24","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","75686100","3209500","72476600","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-25","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","80250600","4488200","75762400","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-26","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","79131001","3600699","75530302","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-27","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","76296300","3314803","72981497","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-28","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","73671800","3097901","70573899","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-29","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","72629900","3017500","69612400","3","5","5","5","4"
"real-exceptions2-branchcontrol-run-30","real-exceptions2-branchcontrol","default","research.OpenSourceExceptionCases.exceptions2BranchControl","76658100","3278701","73379399","3","5","5","5","4"
