run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators
"real-exceptions18-branchcontrol-run-1","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","76751500","1399100","75352400","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-2","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","72636500","1088200","71548300","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-3","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","73069000","1157601","71911399","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-4","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","71177200","1134600","70042600","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-5","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","72201600","1137201","71064399","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-6","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","73115701","1101599","72014102","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-7","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","79971601","1139000","78832601","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-8","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","72762099","1178598","71583501","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-9","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","74615400","1309501","73305899","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-10","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","75228500","1329800","73898700","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-11","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","73429999","1220499","72209500","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-12","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","80789400","1363801","79425599","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-13","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","82032900","1741900","80291000","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-14","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","77423999","1878400","75545599","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-15","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","75492901","1309699","74183202","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-16","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","71409700","1134699","70275001","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-17","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","71466700","1099200","70367500","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-18","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","75192599","1215500","73977099","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-19","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","78506199","1151301","77354898","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-20","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","70645401","1099901","69545500","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-21","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","82384300","1565002","80819298","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-22","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","77392301","1547999","75844302","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-23","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","73089700","1318499","71771201","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-24","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","77655099","1539800","76115299","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-25","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","78258500","1328899","76929601","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-26","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","72942800","1130400","71812400","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-27","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","76048900","1163900","74885000","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-28","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","77270100","1129499","76140601","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-29","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","86187300","1216700","84970600","2","3","3","3","2"
"real-exceptions18-branchcontrol-run-30","real-exceptions18-branchcontrol","default","research.OpenSourceExceptionCases.exceptions18BranchControl","84234100","1230000","83004100","2","3","3","3","2"
